## net.sf.picard.metrics.StringHeader
# net.sf.picard.analysis.CollectGcBiasMetrics REFERENCE_SEQUENCE=/srv/gs1/projects/scg/Resources/GATK/hg19/ucsc.hg19.fasta INPUT=/srv/gsfs0/projects/gbsc/benchmark/giab/NA12878.clia/hugeseq-1.3/hc2/manual-QC/SAMPLE.bam OUTPUT=/srv/gsfs0/projects/gbsc/benchmark/giab/NA12878.clia/hugeseq-1.3/hc2/manual-QC/picard/CollectGcBiasMetrics.out CHART_OUTPUT=/srv/gsfs0/projects/gbsc/benchmark/giab/NA12878.clia/hugeseq-1.3/hc2/manual-QC/picard/CollectGcBiasMetrics.pdf SUMMARY_OUTPUT=/srv/gsfs0/projects/gbsc/benchmark/giab/NA12878.clia/hugeseq-1.3/hc2/manual-QC/picard/CollectGcBiasMetrics.summary    WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 ASSUME_SORTED=false IS_BISULFITE_SEQUENCED=false VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Tue Apr 01 12:41:28 PDT 2014

## METRICS CLASS	net.sf.picard.analysis.GcBiasDetailMetrics
GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH
0	133376	81534	13	1.338986	0.004689
1	95527	61665	15	1.413929	0.005694
2	110295	65359	16	1.29797	0.005077
3	140901	92174	16	1.432878	0.00472
4	151462	102430	16	1.481284	0.004628
5	154134	104491	17	1.484894	0.004594
6	175760	126686	17	1.578787	0.004436
7	189498	129825	18	1.500613	0.004165
8	217240	146952	18	1.481667	0.003865
9	245839	159528	18	1.42135	0.003559
10	290947	189305	18	1.425159	0.003276
11	356003	226771	19	1.39524	0.00293
12	465510	290118	19	1.365088	0.002534
13	616229	374083	20	1.329661	0.002174
14	874258	515637	20	1.291872	0.001799
15	1288459	752101	21	1.278558	0.001474
16	1927848	1106258	21	1.256894	0.001195
17	2893960	1674675	21	1.267515	0.000979
18	4340991	2636819	19	1.330474	0.000819
19	6407709	4183298	18	1.429983	0.000699
20	9254643	6102270	17	1.444264	0.000585
21	13017691	8996610	17	1.51377	0.000505
22	17776043	10352462	19	1.275627	0.000396
23	23603688	12591032	22	1.168413	0.000329
24	30472278	15950761	23	1.146546	0.000287
25	38221550	19642755	23	1.125665	0.000254
26	46557641	23671277	23	1.113642	0.000229
27	55267403	27826811	23	1.102832	0.000209
28	64056292	31972959	23	1.093292	0.000193
29	72612325	35963499	23	1.084842	0.000181
30	80740056	39639813	23	1.075369	0.000171
31	88250564	43098979	23	1.069706	0.000163
32	94825168	46363295	22	1.070941	0.000157
33	100342274	49228328	22	1.074598	0.000153
34	104655752	51776604	22	1.083641	0.000151
35	107930995	54208816	21	1.100117	0.000149
36	110010177	56030267	20	1.115591	0.000149
37	110709617	56582937	20	1.119477	0.000149
38	109725335	56258546	20	1.123043	0.00015
39	107343103	54153354	20	1.10501	0.00015
40	103979061	51233051	20	1.079243	0.000151
41	99934886	48161714	20	1.055601	0.000152
42	95432582	45057481	20	1.034154	0.000154
43	90946151	40906784	21	0.985204	0.000154
44	86905865	37478159	21	0.944592	0.000154
45	83467617	34891689	21	0.915628	0.000155
46	80580514	32948997	21	0.895627	0.000156
47	78139411	31331897	21	0.878277	0.000157
48	75568330	29788886	21	0.863435	0.000158
49	72349157	28143114	21	0.852028	0.000161
50	68224089	26252542	21	0.842847	0.000164
51	63376106	24181682	21	0.835749	0.00017
52	58326345	22124094	21	0.830837	0.000177
53	53613997	20266283	21	0.827963	0.000184
54	49409891	18636880	21	0.826179	0.000191
55	45702526	17202767	21	0.824467	0.000199
56	42123776	15806601	20	0.821914	0.000207
57	38312034	14297442	20	0.817407	0.000216
58	34111368	12605678	20	0.809435	0.000228
59	29551385	10768368	20	0.798155	0.000243
60	24975381	8959519	20	0.785756	0.000263
61	20747534	7296051	20	0.770258	0.000285
62	17134827	5916071	20	0.756256	0.000311
63	14143033	4803595	19	0.743942	0.000339
64	11679363	3898866	19	0.731197	0.00037
65	9627650	3166373	19	0.720372	0.000405
66	7930206	2566280	19	0.708818	0.000442
67	6442446	2055076	19	0.698702	0.000487
68	5154918	1631147	19	0.693085	0.000543
69	4127287	1284829	19	0.681861	0.000602
70	3312493	1020719	18	0.674942	0.000668
71	2652201	804418	18	0.66434	0.000741
72	2146030	644422	18	0.657733	0.000819
73	1752722	521021	18	0.651114	0.000902
74	1446325	425021	18	0.643664	0.000987
75	1218151	356878	18	0.641702	0.001074
76	1050945	306185	18	0.638144	0.001153
77	925208	267224	18	0.632632	0.001224
78	822183	240834	17	0.6416	0.001307
79	717135	209766	17	0.640692	0.001399
80	611550	177983	17	0.637473	0.001511
81	513146	146882	17	0.626964	0.001636
82	430339	121400	17	0.617907	0.001773
83	353654	100034	17	0.619561	0.001959
84	273671	79811	17	0.638777	0.002261
85	198393	57108	17	0.630501	0.002638
86	131597	38307	17	0.637598	0.003258
87	85144	24707	17	0.635596	0.004044
88	58753	15071	17	0.561859	0.004577
89	38146	9133	17	0.52442	0.005487
90	25051	5656	16	0.494538	0.006576
91	15907	5125	17	0.705701	0.009858
92	9427	2282	16	0.530221	0.011099
93	5895	1731	16	0.643174	0.015459
94	3408	2901	17	1.864503	0.034617
95	1663	7957	16	10.480261	0.117489
96	986	8619	17	19.146745	0.206237
97	658	22216	17	73.952857	0.49616
98	328	19106	16	127.588318	0.923052
99	133	1958	15	32.246013	0.728735
100	339	25	15	0.161531	0.032306


