## net.sf.picard.metrics.StringHeader
# net.sf.picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=/srv/gsfs0/projects/gbsc/benchmark/giab/NA12878.clia/hugeseq-1.3/hc2/manual-QC/picard/CollectInsertSizeMetrics.pdf METRIC_ACCUMULATION_LEVEL=[ALL_READS] INPUT=/srv/gsfs0/projects/gbsc/benchmark/giab/NA12878.clia/hugeseq-1.3/hc2/manual-QC/SAMPLE.bam OUTPUT=/srv/gsfs0/projects/gbsc/benchmark/giab/NA12878.clia/hugeseq-1.3/hc2/manual-QC/picard/CollectInsertSizeMetrics.out REFERENCE_SEQUENCE=/srv/gs1/projects/scg/Resources/GATK/hg19/ucsc.hg19.fasta    DEVIATIONS=10.0 MINIMUM_PCT=0.05 ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Wed Apr 02 15:30:45 PDT 2014

## METRICS CLASS	net.sf.picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
290	38	1	249230519	290.430444	61.742891	610808551	FR	15	29	43	59	77	95	119	151	205	2707			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
1	1320
2	1447
3	1570
4	1520
5	1603
6	1579
7	1644
8	1612
9	1662
10	1701
11	1792
12	1764
13	1931
14	1848
15	1879
16	2063
17	2189
18	4150
19	4333
20	3310
21	2811
22	2937
23	3033
24	3003
25	3191
26	3283
27	3144
28	3467
29	3837
30	4489
31	4459
32	4641
33	4844
34	5006
35	5724
36	5851
37	5295
38	5928
39	5606
40	5577
41	5710
42	5968
43	6337
44	6317
45	6700
46	6962
47	7345
48	7712
49	8006
50	8654
51	9010
52	9421
53	9906
54	10425
55	11359
56	11333
57	11751
58	12691
59	14432
60	17012
61	14714
62	16282
63	17421
64	22794
65	25934
66	22841
67	23219
68	25239
69	29675
70	28000
71	28299
72	30408
73	32583
74	34264
75	36059
76	39002
77	41567
78	44127
79	48193
80	53459
81	55691
82	60220
83	65447
84	72781
85	79471
86	87423
87	95565
88	106858
89	119991
90	134692
91	150851
92	168498
93	192650
94	220661
95	252327
96	293705
97	342223
98	416167
99	565568
100	529231
101	361047
102	292885
103	242973
104	207502
105	181371
106	159857
107	142967
108	130281
109	119911
110	108363
111	100510
112	95093
113	90251
114	86346
115	82422
116	79652
117	78210
118	77862
119	77374
120	77137
121	76798
122	78340
123	78212
124	79608
125	81930
126	82795
127	84941
128	87919
129	90813
130	94322
131	94546
132	102642
133	111659
134	103144
135	105748
136	110084
137	112476
138	117239
139	121858
140	125140
141	130790
142	136670
143	141456
144	147878
145	153617
146	158841
147	164628
148	171174
149	177239
150	183156
151	190011
152	197016
153	203895
154	211594
155	219420
156	228667
157	236248
158	244797
159	254697
160	262373
161	273230
162	281846
163	293510
164	303492
165	315026
166	325666
167	338195
168	349682
169	362664
170	374695
171	386753
172	400668
173	415480
174	429319
175	444522
176	459624
177	475864
178	490996
179	509258
180	525919
181	543664
182	559298
183	578978
184	599821
185	620426
186	639925
187	660552
188	682694
189	706849
190	729399
191	752698
192	775455
193	801183
194	823909
195	853125
196	880105
