## net.sf.picard.metrics.StringHeader
# net.sf.picard.analysis.MeanQualityByCycle CHART_OUTPUT=/srv/gsfs0/projects/gbsc/benchmark/giab/NA12878.clia/hugeseq-1.3/hc2/manual-QC/picard/MeanQualityByCycle.pdf INPUT=/srv/gsfs0/projects/gbsc/benchmark/giab/NA12878.clia/hugeseq-1.3/hc2/manual-QC/SAMPLE.bam OUTPUT=/srv/gsfs0/projects/gbsc/benchmark/giab/NA12878.clia/hugeseq-1.3/hc2/manual-QC/picard/MeanQualityByCycle.out REFERENCE_SEQUENCE=/srv/gs1/projects/scg/Resources/GATK/hg19/ucsc.hg19.fasta    ALIGNED_READS_ONLY=false PF_READS_ONLY=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Thu Apr 03 08:48:31 PDT 2014


## HISTOGRAM	java.lang.Integer
CYCLE	MEAN_QUALITY
1	27.591415
2	28.68071
3	27.311446
4	30.080385
5	31.434803
6	32.390771
7	32.253993
8	32.53108
9	32.833494
10	31.831951
11	32.831493
12	32.901671
13	31.977279
14	31.969278
15	31.627327
16	31.652997
17	31.288238
18	31.552725
19	31.420128
20	31.204529
21	30.829478
22	31.016696
23	31.124614
24	31.048011
25	31.111282
26	31.101343
27	30.911317
28	31.105365
29	31.211051
30	31.044412
31	31.037687
32	31.009489
33	31.255171
34	31.338741
35	31.291821
36	31.41687
37	31.28022
38	31.408425
39	31.29948
40	31.480562
41	31.448058
42	31.279511
43	31.144871
44	31.049823
45	31.406949
46	31.108814
47	31.14931
48	31.029599
49	30.936424
50	31.316934
51	31.230862
52	31.510193
53	31.253859
54	31.272872
55	30.937695
56	30.774808
57	30.975003
58	31.033933
59	31.110451
60	31.147027
61	31.121435
62	31.100426
63	30.841585
64	31.02757
65	31.215269
66	30.895025
67	30.882078
68	30.895356
69	30.986731
70	30.954026
71	30.693931
72	30.690739
73	30.863453
74	30.803023
75	30.969499
76	31.430082
77	31.573478
78	31.551597
79	31.740757
80	31.519152
81	31.84941
82	31.700025
83	31.14465
84	31.48595
85	31.504265
86	31.581083
87	31.584771
88	31.49525
89	31.391163
90	31.267405
91	31.483428
92	31.326923
93	31.109159
94	30.854658
95	30.676768
96	29.8359
97	27.926396
98	26.447206
99	27.020225
100	28.29521
101	28.114062
102	28.992328
103	27.617804
104	30.327307
105	32.046605
106	32.49665
107	32.325066
108	32.614484
109	32.913051
110	31.859523
111	32.884327
112	32.982902
113	31.992427
114	31.964461
115	31.669435
116	31.692187
117	31.388961
118	31.59494
119	31.448075
120	31.280527
121	30.868047
122	31.093807
123	31.175646
124	31.091597
125	31.138693
126	31.162378
127	30.942499
128	31.109546
129	31.194719
130	31.067703
131	31.089935
132	31.04558
133	31.286651
134	31.382324
135	31.351801
136	31.444098
137	31.357361
138	31.447113
139	31.341583
140	31.542855
141	31.500157
142	31.303754
143	31.190108
144	31.129126
145	31.438182
146	31.182842
147	31.191042
148	31.106773
149	30.969418
150	31.389982
151	31.280669
152	31.578472
153	31.322029
154	31.334309
155	31.004451
156	30.805474
157	31.017002
158	31.060763
159	31.196987
160	31.187434
161	31.172386
162	31.142409
163	30.893061
164	31.058975
165	31.269429
166	30.943771
167	30.955358
168	30.942368
169	31.06524
170	31.037951
171	30.735413
172	30.748407
173	30.909201
174	30.900583
175	31.045738
176	31.539398
177	31.654886
178	31.632119
179	31.815456
180	31.613107
181	31.874981
182	31.720977
183	31.24997
184	31.519762
185	31.556094
186	31.653033
187	31.596478
188	31.526659
189	31.46881
190	31.365241
191	31.495358
192	31.433499
193	31.184539
194	30.942705
195	30.847105
196	30.448832
197	28.318751
198	26.777179
199	27.216108
200	28.510661

