## net.sf.picard.metrics.StringHeader
# net.sf.picard.analysis.QualityScoreDistribution CHART_OUTPUT=/srv/gsfs0/projects/gbsc/benchmark/giab/NA12878.clia/hugeseq-1.3/hc2/manual-QC/picard/QualityScoreDistribution.pdf INPUT=/srv/gsfs0/projects/gbsc/benchmark/giab/NA12878.clia/hugeseq-1.3/hc2/manual-QC/SAMPLE.bam OUTPUT=/srv/gsfs0/projects/gbsc/benchmark/giab/NA12878.clia/hugeseq-1.3/hc2/manual-QC/picard/QualityScoreDistribution.out REFERENCE_SEQUENCE=/srv/gs1/projects/scg/Resources/GATK/hg19/ucsc.hg19.fasta    ALIGNED_READS_ONLY=false PF_READS_ONLY=false INCLUDE_NO_CALLS=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Wed Apr 02 15:31:00 PDT 2014


## HISTOGRAM	java.lang.Byte
QUALITY	COUNT_OF_Q
2	15038
3	383059
4	15575206
5	157033129
6	470640257
7	741334959
8	708854370
9	376044276
10	246489282
11	329455941
12	418654746
13	645300477
14	817786462
15	957885739
16	784683732
17	619393746
18	641038574
19	749322770
20	840080696
21	787606687
22	699003296
23	945149399
24	1128833470
25	1396745639
26	1942874486
27	3018590113
28	5186288321
29	7609060039
30	9501464530
31	11610402782
32	12330607997
33	13375463104
34	16285978037
35	14090679604
36	13412093017
37	5615216031
38	2687075657
39	1424139693
40	330134971
41	90623357

